# BEGIN PLOT
DrawOnly=powheg madgraph sherpa herwig hej gosam-h2j-nlo gosam-h2j-loopsim 
Legend=1
LegendXPos=0.45
LogY=1
PlotSize=10,8
RatioPlot=0
RatioPlot1=1
RatioPlot1DrawOnly=powheg madgraph sherpa herwig hej
RatioPlot1Reference=powheg
RatioPlot1SameStyle=1
RatioPlot1YLabel=Ratio to \texttt{Powheg}
RatioPlot1YMajorTickMarks=5
RatioPlot1YMax=1.9999
RatioPlot1YMin=0.0001
RatioPlot1YSize=4
RatioPlot2=1
RatioPlot2DrawOnly=powheg gosam-h2j-nlo gosam-h2j-loopsim 
RatioPlot2Reference=powheg
RatioPlot2SameStyle=1
RatioPlot2YLabel=Ratio to \texttt{Powheg}
RatioPlot2YMajorTickMarks=5
RatioPlot2YMax=1.9999
RatioPlot2YMin=0.0001
RatioPlot2YSize=4
RatioPlotReference=/home/marek/work/LH15/Sherpa-GoSamComparison/PowhegNNLOPS/PowhegNNLOPS_Pythia8_M1250_MMHT14_13TeV_envelope.yoda/MC_HJETS_LH15/H_jj_pT_incl
Title=Higgs boson transverse momentum ($n_j\ge 2$)
XLabel=$p_\perp(h)$ [GeV]
XTwosidedTicks=1
YLabel=d$\sigma$/d$p_\perp$ [pb/GeV]
YTwosidedTicks=1
# END PLOT

# BEGIN HISTOGRAM /home/marek/work/LH15/Sherpa-GoSamComparison/PowhegNNLOPS/PowhegNNLOPS_Pythia8_M1250_MMHT14_13TeV_envelope.yoda/MC_HJETS_LH15/H_jj_pT_incl
ErrorBandColor=black!30!white
ErrorBandOpacity=0.1
ErrorBandStyle=hlines
ErrorBands=1
ErrorTubeLineColor=black!40!white
ErrorTubes=1
LineColor=black
LineStyle=solid
LineWidth=1.5pt
Name=powheg
Path=/home/marek/work/LH15/Sherpa-GoSamComparison/PowhegNNLOPS/PowhegNNLOPS_Pythia8_M1250_MMHT14_13TeV_envelope.yoda/MC_HJETS_LH15/H_jj_pT_incl
Scale=438.596491228
Title=\texttt{Powheg} \textsc{NnloPs}
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.631738e-05	1.847640e-06	2.744590e-06
1.000000e+01	2.000000e+01	4.042793e-05	4.491060e-06	4.834790e-06
2.000000e+01	3.000000e+01	5.455288e-05	6.411560e-06	6.290680e-06
3.000000e+01	4.000000e+01	6.418222e-05	8.061540e-06	8.263980e-06
4.000000e+01	5.000000e+01	6.986543e-05	9.239330e-06	9.197910e-06
5.000000e+01	6.000000e+01	7.263409e-05	1.022001e-05	1.035497e-05
6.000000e+01	7.000000e+01	7.939468e-05	1.161806e-05	1.124223e-05
7.000000e+01	8.000000e+01	8.066201e-05	1.222091e-05	1.092957e-05
8.000000e+01	9.000000e+01	7.887099e-05	1.238214e-05	1.036733e-05
9.000000e+01	1.000000e+02	7.431895e-05	1.259730e-05	1.177470e-05
1.000000e+02	1.100000e+02	6.578858e-05	1.147633e-05	1.037354e-05
1.100000e+02	1.200000e+02	5.783456e-05	1.048854e-05	9.925880e-06
1.200000e+02	1.300000e+02	4.879483e-05	9.038670e-06	9.257670e-06
1.300000e+02	1.400000e+02	4.144765e-05	7.704150e-06	7.783880e-06
1.400000e+02	1.500000e+02	3.489709e-05	6.595140e-06	6.747680e-06
1.500000e+02	1.600000e+02	2.947166e-05	5.602720e-06	6.083710e-06
1.600000e+02	1.700000e+02	2.517094e-05	4.846290e-06	5.292550e-06
1.700000e+02	1.800000e+02	2.052821e-05	3.957570e-06	4.285690e-06
1.800000e+02	1.900000e+02	1.771200e-05	3.418790e-06	3.722570e-06
1.900000e+02	2.000000e+02	1.548827e-05	3.015710e-06	3.288310e-06
2.000000e+02	2.200000e+02	1.249302e-05	2.404450e-06	2.586965e-06
2.200000e+02	2.400000e+02	9.314825e-06	1.804065e-06	1.917025e-06
2.400000e+02	2.600000e+02	6.893745e-06	1.325620e-06	1.396500e-06
2.600000e+02	2.800000e+02	5.214280e-06	1.021279e-06	1.104840e-06
2.800000e+02	3.000000e+02	4.057945e-06	7.906155e-07	8.481725e-07
3.000000e+02	3.200000e+02	3.268023e-06	6.394400e-07	6.896310e-07
3.200000e+02	3.400000e+02	2.533574e-06	4.975240e-07	5.409330e-07
3.400000e+02	3.600000e+02	2.121312e-06	4.102980e-07	4.395490e-07
3.600000e+02	3.800000e+02	1.661566e-06	3.049990e-07	3.020595e-07
3.800000e+02	4.000000e+02	1.423632e-06	2.767015e-07	2.979110e-07
# END HISTOGRAM

# BEGIN HISTOGRAM /home/marek/work/LH15/Sherpa-GoSamComparison/MG5aMC/MG5aMC_envelope.yoda/MC_HJETS_LH15/H_jj_pT_incl
ErrorBandColor=green!50!white
ErrorBandOpacity=0.4
ErrorBandStyle=vlines
ErrorBands=1
ErrorTubeLineColor=green!70!white
ErrorTubes=1
LineColor=green!70!black
LineStyle=solid
LineWidth=1.5pt
Name=madgraph
Path=/home/marek/work/LH15/Sherpa-GoSamComparison/MG5aMC/MG5aMC_envelope.yoda/MC_HJETS_LH15/H_jj_pT_incl
Title=\texttt{MG5\_aMC} \textsc{FxFx}
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.688675e-03	1.633662e-03	1.548857e-03
1.000000e+01	2.000000e+01	1.068756e-02	3.964883e-03	5.363890e-03
2.000000e+01	3.000000e+01	1.655106e-02	5.284530e-03	7.807350e-03
3.000000e+01	4.000000e+01	2.149239e-02	6.840790e-03	8.182750e-03
