# BEGIN PLOT
CustomLegend=$\mathbf{p_\perp^h>100\;\text{GeV}}$
DrawOnly=powheg madgraph sherpa herwig 
Legend=1
LegendXPos=0.45
LegendYPos=0.6
LogX=1
LogY=1
PlotSize=10,8
RatioPlot=0
RatioPlot1=1
RatioPlot1DrawOnly=powheg madgraph sherpa herwig hej
RatioPlot1Reference=powheg
RatioPlot1SameStyle=1
RatioPlot1YLabel=Ratio to \texttt{Powheg}
RatioPlot1YMajorTickMarks=5
RatioPlot1YMax=1.9999
RatioPlot1YMin=0.0001
RatioPlot1YSize=4
RatioPlot2=0
RatioPlot2DrawOnly=hqt nnlo-hj nnlo-h powheg gosam-h1j-nlo gosam-h1j-loopsim gosam-h2j-nlo gosam-h2j-loopsim gosam-h3j-nlo 
RatioPlot2Reference=powheg
RatioPlot2SameStyle=1
RatioPlot2YLabel=Ratio to \texttt{Powheg}
RatioPlot2YMajorTickMarks=5
RatioPlot2YMax=1.9999
RatioPlot2YMin=0.0001
RatioPlot2YSize=4
RatioPlotReference=/home/marek/work/LH15/Sherpa-GoSamComparison/PowhegNNLOPS/PowhegNNLOPS_Pythia8_M1250_MMHT14_13TeV_envelope.yoda/MC_HJETS_LH15/xs_jet_veto_h_100
Title=Jet veto cross section
XLabel=$p_\perp^\text{veto}$ [GeV]
XTwosidedTicks=1
YLabel=$\sigma(p_\perp^\text{veto})$ [pb]
YTwosidedTicks=1
# END PLOT

# BEGIN HISTOGRAM /home/marek/work/LH15/Sherpa-GoSamComparison/PowhegNNLOPS/PowhegNNLOPS_Pythia8_M1250_MMHT14_13TeV_envelope.yoda/MC_HJETS_LH15/xs_jet_veto_h_100
ErrorBandColor=black!30!white
ErrorBandOpacity=0.1
ErrorBandStyle=hlines
ErrorBands=1
ErrorTubeLineColor=black!40!white
ErrorTubes=1
LineColor=black
LineStyle=solid
LineWidth=1.5pt
Name=powheg
Path=/home/marek/work/LH15/Sherpa-GoSamComparison/PowhegNNLOPS/PowhegNNLOPS_Pythia8_M1250_MMHT14_13TeV_envelope.yoda/MC_HJETS_LH15/xs_jet_veto_h_100
Scale=438.596491228
Title=\texttt{Powheg} \textsc{NnloPs}
# xlow	 xhigh	 val	 errminus	 errplus
9.999995e-01	1.023292e+00	4.819620e-08	7.797862e-09	1.693337e-08
1.023293e+00	1.047129e+00	1.171200e-07	2.458122e-08	3.845385e-08
1.047129e+00	1.071519e+00	2.591658e-07	4.999545e-08	6.567729e-08
1.071519e+00	1.096478e+00	5.043115e-07	1.016455e-07	1.328190e-07
1.096478e+00	1.122018e+00	6.248540e-07	1.209115e-07	1.540227e-07
1.122018e+00	1.148154e+00	6.506780e-07	1.271373e-07	1.670868e-07
1.148154e+00	1.174898e+00	8.227819e-07	1.595446e-07	2.038169e-07
1.174898e+00	1.202264e+00	9.239571e-07	1.791409e-07	2.288701e-07
1.202265e+00	1.230269e+00	1.222332e-06	2.321157e-07	2.842414e-07
1.230269e+00	1.258925e+00	1.640274e-06	3.109440e-07	3.785092e-07
1.258925e+00	1.288250e+00	1.939211e-06	3.728798e-07	4.517146e-07
1.288250e+00	1.318256e+00	2.159013e-06	3.987313e-07	4.410981e-07
1.318257e+00	1.348963e+00	2.531322e-06	4.692568e-07	5.176174e-07
1.348963e+00	1.380383e+00	2.726826e-06	5.065580e-07	5.605204e-07
1.380384e+00	1.412538e+00	3.009354e-06	5.639808e-07	6.370228e-07
1.412538e+00	1.445440e+00	3.282497e-06	6.046979e-07	6.574038e-07
1.445440e+00	1.479108e+00	3.659012e-06	6.851253e-07	7.709665e-07
1.479108e+00	1.513562e+00	4.149319e-06	7.790729e-07	8.714510e-07
1.513561e+00	1.548817e+00	4.478429e-06	8.169191e-07	7.287866e-07
1.548817e+00	1.584893e+00	5.042638e-06	9.296873e-07	8.213826e-07
1.584894e+00	1.621811e+00	5.463559e-06	1.017244e-06	9.476745e-07
1.621810e+00	1.659587e+00	6.061680e-06	1.128785e-06	1.045356e-06
1.659587e+00	1.698245e+00	6.586176e-06	1.204638e-06	1.089407e-06
1.698245e+00	1.737801e+00	7.207867e-06	1.320143e-06	1.201502e-06
1.737801e+00	1.778279e+00	7.813316e-06	1.442776e-06	1.373067e-06
1.778279e+00	1.819701e+00	8.480774e-06	1.565115e-06	1.495963e-06
1.819701e+00	1.862087e+00	9.439947e-06	1.749396e-06	1.716560e-06
1.862087e+00	1.905461e+00	1.024193e-05	1.875824e-06	1.824754e-06
