# BEGIN PLOT
CustomLegend=\textbf{inclusive}
DrawOnly=powheg madgraph sherpa herwig 
Legend=1
LegendXPos=0.45
LegendYPos=0.6
LogX=1
LogY=1
PlotSize=10,8
RatioPlot=0
RatioPlot1=1
RatioPlot1DrawOnly=powheg madgraph sherpa herwig hej
RatioPlot1Reference=powheg
RatioPlot1SameStyle=1
RatioPlot1YLabel=Ratio to \texttt{Powheg}
RatioPlot1YMajorTickMarks=5
RatioPlot1YMax=1.9999
RatioPlot1YMin=0.0001
RatioPlot1YSize=4
RatioPlot2=0
RatioPlot2DrawOnly=hqt nnlo-hj nnlo-h powheg gosam-h1j-nlo gosam-h1j-loopsim gosam-h2j-nlo gosam-h2j-loopsim gosam-h3j-nlo 
RatioPlot2Reference=powheg
RatioPlot2SameStyle=1
RatioPlot2YLabel=Ratio to \texttt{Powheg}
RatioPlot2YMajorTickMarks=5
RatioPlot2YMax=1.9999
RatioPlot2YMin=0.0001
RatioPlot2YSize=4
RatioPlotReference=/home/marek/work/LH15/Sherpa-GoSamComparison/Sherpa-NNLO/nnlo-mh/nnlo-mh-envelope-3p-sel-min.yoda/MC_HJETS_LH15/xs_jet_veto_j0
Title=Jet veto cross section
XLabel=$p_\perp^\text{veto}$ [GeV]
XTwosidedTicks=1
YLabel=$\sigma(p_\perp^\text{veto})$ [pb]
YTwosidedTicks=1
# END PLOT

# BEGIN HISTOGRAM /home/marek/work/LH15/Sherpa-GoSamComparison/Sherpa-NNLO/nnlo-mh/nnlo-mh-envelope-3p-sel-min.yoda/MC_HJETS_LH15/xs_jet_veto_j0
ErrorBandColor=cyan
ErrorBandOpacity=0.2
ErrorBands=1
ErrorTubeLineColor=cyan!90!black
ErrorTubes=1
LineColor=cyan
LineStyle=solid
LineWidth=1.5pt
Name=nnlo-h
Path=/home/marek/work/LH15/Sherpa-GoSamComparison/Sherpa-NNLO/nnlo-mh/nnlo-mh-envelope-3p-sel-min.yoda/MC_HJETS_LH15/xs_jet_veto_j0
Title=\textsc{Sherpa} h \textsc{Nnlo}
# xlow	 xhigh	 val	 errminus	 errplus
9.999995e-01	1.023292e+00	-4.108079e+00	2.363874e+00	1.453732e+00
1.023293e+00	1.047129e+00	-6.843871e+00	4.061659e+00	2.482149e+00
1.047129e+00	1.071519e+00	-9.125437e+00	5.537991e+00	3.369344e+00
1.071519e+00	1.096478e+00	-1.105075e+01	6.833908e+00	4.143239e+00
1.096478e+00	1.122018e+00	-1.285255e+01	8.073218e+00	4.880114e+00
1.122018e+00	1.148154e+00	-1.447542e+01	9.220305e+00	5.559301e+00
1.148154e+00	1.174898e+00	-1.593124e+01	1.028311e+01	6.185429e+00
1.174898e+00	1.202264e+00	-1.730642e+01	1.130691e+01	6.786538e+00
1.202265e+00	1.230269e+00	-1.856126e+01	1.226887e+01	7.348831e+00
1.230269e+00	1.258925e+00	-1.974857e+01	1.319534e+01	7.889070e+00
1.258925e+00	1.288250e+00	-2.085926e+01	1.408471e+01	8.405446e+00
1.288250e+00	1.318256e+00	-2.191748e+01	1.494888e+01	8.905632e+00
1.318257e+00	1.348963e+00	-2.293415e+01	1.578858e+01	9.391184e+00
1.348963e+00	1.380383e+00	-2.384226e+01	1.657138e+01	9.841224e+00
1.380384e+00	1.412538e+00	-2.473945e+01	1.735021e+01	1.028816e+01
1.412538e+00	1.445440e+00	-2.559936e+01	1.811024e+01	1.072327e+01
1.445440e+00	1.479108e+00	-2.641196e+01	1.884514e+01	1.114265e+01
1.479108e+00	1.513562e+00	-2.713194e+01	1.953192e+01	1.153200e+01
1.513561e+00	1.548817e+00	-2.787385e+01	2.022862e+01	1.192763e+01
1.548817e+00	1.584893e+00	-2.858956e+01	2.091401e+01	1.231548e+01
1.584894e+00	1.621811e+00	-2.922407e+01	2.155446e+01	1.267600e+01
1.621810e+00	1.659587e+00	-2.981020e+01	2.217119e+01	1.302132e+01
1.659587e+00	1.698245e+00	-3.040453e+01	2.279013e+01	1.336828e+01
1.698245e+00	1.737801e+00	-3.095536e+01	2.338893e+01	1.370205e+01
1.737801e+00	1.778279e+00	-3.145906e+01	2.396151e+01	1.401962e+01
